Rank,Player,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FGM,Pts Agn,Tack,Pts
1,"Thomas, Demaryius",DEN,BAL,WR,0.0,0.0,0.0,0.0,7.7,113.2,0.8,0.0,0.0,0.0,24.0
2,"Jones, Julio",ATL,PHI,WR,0.0,0.0,0.3,0.0,7.4,108.2,0.8,0.0,0.0,0.0,23.1
3,"Brady, Tom",NEP,PIT,QB,320.4,2.4,2.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,21.8
4,"Rodgers, Aaron",GBP,@CHI,QB,294.2,2.3,15.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,21.7
5,"Cobb, Randall",GBP,@CHI,WR,0.0,0.0,2.2,0.0,6.2,90.4,0.9,0.0,0.0,0.0,20.6
6,"Beckham, Odell",NYG,@DAL,WR,0.0,0.0,2.1,0.0,6.4,91.0,0.8,0.0,0.0,0.0,20.4
7,"Bryant, Dez",DAL,NYG,WR,0.0,0.0,0.0,0.0,6.0,86.1,1.0,0.0,0.0,0.0,20.4
8,"Gronkowski, Rob",NEP,PIT,TE,0.0,0.0,0.0,0.0,6.3,86.9,0.9,0.0,0.0,0.0,20.1
9,"Manning, Peyton",DEN,BAL,QB,300.6,2.5,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
10,"Brown, Antonio",PIT,@NEP,WR,0.0,0.0,0.3,0.0,7.0,92.2,0.6,0.0,0.0,0.0,19.9
11,"Luck, Andrew",IND,@BUF,QB,281.2,2.0,22.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,19.7
12,"Peterson, Adrian",MIN,@SFO,RB,0.0,0.0,85.1,0.9,3.0,21.7,0.1,0.0,0.0,0.0,19.3
13,"Tannehill, Ryan",MIA,@WAS,QB,293.4,1.9,14.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.2
14,"Johnson, Calvin",DET,@SDC,WR,0.0,0.0,0.0,0.0,5.7,91.0,0.7,0.0,0.0,0.0,19.1
15,"Brees, Drew",NOR,@ARZ,QB,289.3,2.0,3.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.9
16,"Romo, Tony",DAL,NYG,QB,256.6,2.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8
17,"Sanders, Emmanuel",DEN,BAL,WR,0.0,0.0,2.0,0.0,6.6,83.6,0.6,0.0,0.0,0.0,18.6
18,"Forte, Matt",CHI,GBP,RB,0.0,0.0,72.2,0.4,4.1,33.8,0.3,0.0,0.0,0.0,18.5
19,"Lacy, Eddie",GBP,@CHI,RB,0.0,0.0,88.2,0.6,2.6,22.8,0.1,0.0,0.0,0.0,18.2
20,"Roethlisberger, Ben",PIT,@NEP,QB,297.6,1.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
21,"Wilson, Russell",SEA,@STL,QB,206.7,1.4,39.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,18.0
22,"Charles, Jamaal",KCC,@HOU,RB,0.0,0.0,69.5,0.6,3.1,25.2,0.3,0.0,0.0,0.0,17.7
23,"Newton, Cam",CAR,@JAC,QB,216.2,1.4,37.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,17.5
