"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",8900,"Atl@NYG 01:00PM ET",21.293,"Atl"
"WR","Antonio Brown",8800,"SF@Pit 01:00PM ET",25.682,"Pit"
"WR","Odell Beckham Jr.",8800,"Atl@NYG 01:00PM ET",26.417,"NYG"
"WR","Dez Bryant",8500,"Dal@Phi 04:25PM ET",19.033,"Dal"
"QB","Aaron Rodgers",8300,"Sea@GB 08:30PM ET",23.428,"GB"
"WR","Calvin Johnson",8200,"Det@Min 01:00PM ET",18.229,"Det"
"QB","Andrew Luck",8200,"NYJ@Ind 08:30PM ET",23.743,"Ind"
"QB","Drew Brees",7800,"TB@NO 01:00PM ET",21.749,"NO"
"RB","Adrian Peterson",7700,"Det@Min 01:00PM ET",11.300,"Min"
"RB","Matt Forte",7700,"Ari@Chi 01:00PM ET",22.538,"Chi"
"QB","Tom Brady",7500,"NE@Buf 01:00PM ET",20.060,"NE"
"WR","A.J. Green",7500,"SD@Cin 01:00PM ET",17.100,"Cin"
"WR","Alshon Jeffery",7500,"Ari@Chi 01:00PM ET",16.913,"Chi"
"QB","Matt Ryan",7400,"Atl@NYG 01:00PM ET",19.891,"Atl"
"RB","Arian Foster",7400,"Hou@Car 01:00PM ET",22.808,"Hou"
"WR","Randall Cobb",7400,"Sea@GB 08:30PM ET",19.594,"GB"
"WR","DeAndre Hopkins",7400,"Hou@Car 01:00PM ET",15.250,"Hou"
"WR","Mike Evans",7400,"TB@NO 01:00PM ET",16.940,"TB"
"RB","Jeremy Hill",7400,"SD@Cin 01:00PM ET",14.035,"Cin"
"TE","Rob Gronkowski",7300,"NE@Buf 01:00PM ET",18.471,"NE"
"QB","Russell Wilson",7300,"Sea@GB 08:30PM ET",21.910,"Sea"
"QB","Ben Roethlisberger",7200,"SF@Pit 01:00PM ET",21.596,"Pit"
"RB","Marshawn Lynch",7200,"Sea@GB 08:30PM ET",19.839,"Sea"
"QB","Cam Newton",7200,"Hou@Car 01:00PM ET",19.246,"Car"
"WR","T.Y. Hilton",7200,"NYJ@Ind 08:30PM ET",17.372,"Ind"
"RB","Eddie Lacy",7200,"Sea@GB 08:30PM ET",17.167,"GB"
"QB","Tony Romo",7100,"Dal@Phi 04:25PM ET",18.656,"Dal"
"QB","Eli Manning",7100,"Atl@NYG 01:00PM ET",18.906,"NYG"
"WR","Jordan Matthews",7100,"Dal@Phi 04:25PM ET",13.200,"Phi"
"WR","Keenan Allen",7100,"SD@Cin 01:00PM ET",13.307,"SD"
"RB","DeMarco Murray",7000,"Dal@Phi 04:25PM ET",24.033,"Phi"
"QB","Ryan Tannehill",7000,"Mia@Jax 04:05PM ET",18.719,"Mia"
"WR","Brandin Cooks",7000,"TB@NO 01:00PM ET",13.930,"NO"
"QB","Sam Bradford",6900,"Dal@Phi 04:25PM ET",0,"Phi"
"QB","Matthew Stafford",6800,"Det@Min 01:00PM ET",17.435,"Det"
"QB","Carson Palmer",6700,"Ari@Chi 01:00PM ET",18.923,"Ari"
"QB","Philip Rivers",6700,"SD@Cin 01:00PM ET",18.603,"SD"
"WR","Julian Edelman",6700,"NE@Buf 01:00PM ET",17.065,"NE"
"QB","Colin Kaepernick",6600,"SF@Pit 01:00PM ET",16.979,"SF"
"RB","LeSean McCoy",6600,"NE@Buf 01:00PM ET",13.400,"Buf"
"WR","Brandon Marshall",6400,"NYJ@Ind 08:30PM ET",14.315,"NYJ"
"QB","Joe Flacco",6400,"Bal@Oak 04:05PM ET",18.571,"Bal"
"QB","Teddy Bridgewater",6400,"Det@Min 01:00PM ET",15.435,"Min"
"WR","Amari Cooper",6400,"Bal@Oak 04:05PM ET",0,"Oak"
"WR","Golden Tate",6300,"Det@Min 01:00PM ET",17.353,"Det"
"RB","Justin Forsett",6200,"Bal@Oak 04:05PM ET",16.233,"Bal"
"WR","DeSean Jackson",6200,"StL@Was 01:00PM ET",15.173,"Was"
"QB","Tyrod Taylor",6200,"NE@Buf 01:00PM ET",-0.300,"Buf"
"WR","Sammy Watkins",6200,"NE@Buf 01:00PM ET",13.188,"Buf"
"RB","Andre Ellington",6100,"Ari@Chi 01:00PM ET",15.208,"Ari"
"WR","Steve Smith Sr.",6000,"Bal@Oak 04:05PM ET",14.667,"Bal"
"QB","Jay Cutler",6000,"Ari@Chi 01:00PM ET",19.439,"Chi"
"QB","Marcus Mariota",6000,"Ten@Cle 01:00PM ET",0,"Ten"
"RB","Mark Ingram",5900,"TB@NO 01:00PM ET",15.762,"NO"
"WR","Jarvis Landry",5900,"Mia@Jax 04:05PM ET",11.588,"Mia"
"WR","Roddy White",5800,"Atl@NYG 01:00PM ET",15.650,"Atl"
"WR","Andre Johnson",5800,"NYJ@Ind 08:30PM ET",13.107,"Ind"
"TE","Jimmy Graham",5800,"Sea@GB 08:30PM ET",14.681,"Sea"
"QB","Andy Dalton",5800,"SD@Cin 01:00PM ET",15.425,"Cin"
"QB","Robert Griffin III",5800,"StL@Was 01:00PM ET",11.151,"Was"
"RB","Latavius Murray",5800,"Bal@Oak 04:05PM ET",5.913,"Oak"
"WR","Anquan Boldin",5700,"SF@Pit 01:00PM ET",13.913,"SF"
"RB","Doug Martin",5600,"TB@NO 01:00PM ET",7.618,"TB"
"RB","Joseph Randle",5600,"Dal@Phi 04:25PM ET",3.228,"Dal"
"QB","Jameis Winston",5600,"TB@NO 01:00PM ET",0,"TB"
"QB","Ryan Fitzpatrick",5500,"NYJ@Ind 08:30PM ET",15.977,"NYJ"
"WR","Vincent Jackson",5500,"TB@NO 01:00PM ET",11.888,"TB"
"RB","Jonathan Stewart",5500,"Hou@Car 01:00PM ET",12.227,"Car"
"QB","Nick Foles",5500,"StL@Was 01:00PM ET",18.040,"StL"
"QB","Kirk Cousins",5500,"StL@Was 01:00PM ET",17.567,"Was"
"QB","Derek Carr",5500,"Bal@Oak 04:05PM ET",13.188,"Oak"
"RB","Lamar Miller",5500,"Mia@Jax 04:05PM ET",14.525,"Mia"
"WR","Nelson Agholor",5500,"Dal@Phi 04:25PM ET",0,"Phi"
"WR","Marques Colston",5400,"TB@NO 01:00PM ET",11.513,"NO"
"WR","Larry Fitzgerald",5400,"Ari@Chi 01:00PM ET",10.967,"Ari"
"WR","Mike Wallace",5400,"Det@Min 01:00PM ET",13.550,"Min"
"WR","Torrey Smith",5400,"SF@Pit 01:00PM ET",11.761,"SF"
"QB","Geno Smith",5400,"NYJ@Ind 08:30PM ET",12.343,"NYJ"
"RB","DeAngelo Williams",5300,"SF@Pit 01:00PM ET",4.438,"Pit"
"QB","Matt McGloin",5300,"Bal@Oak 04:05PM ET",7.460,"Oak"
"QB","Blake Bortles",5300,"Mia@Jax 04:05PM ET",13.516,"Jax"
"QB","Brian Hoyer",5200,"Hou@Car 01:00PM ET",12.853,"Hou"
"QB","Johnny Manziel",5200,"Ten@Cle 01:00PM ET",2.780,"Cle"
"QB","Josh McCown",5100,"Ten@Cle 01:00PM ET",13.722,"Cle"
"WR","Eric Decker",5100,"NYJ@Ind 08:30PM ET",13.747,"NYJ"
"QB","Ryan Mallett",5100,"Hou@Car 01:00PM ET",7.267,"Hou"
"QB","Mike Glennon",5100,"TB@NO 01:00PM ET",16.930,"TB"
"WR","John Brown",5100,"Ari@Chi 01:00PM ET",9.259,"Ari"
"RB","Carlos Hyde",5100,"SF@Pit 01:00PM ET",5.364,"SF"
"QB","Matt Hasselbeck",5000,"NYJ@Ind 08:30PM ET",4.485,"Ind"
"QB","Michael Vick",5000,"SF@Pit 01:00PM ET",4.746,"Pit"
"QB","Matt Cassel",5000,"NE@Buf 01:00PM ET",8.933,"Buf"
"QB","Charlie Whitehurst",5000,"Ten@Cle 01:00PM ET",12.720,"Ten"
"QB","Tarvaris Jackson",5000,"Sea@GB 08:30PM ET",0.000,"Sea"
"QB","Derek Anderson",5000,"Hou@Car 01:00PM ET",7.206,"Car"
"QB","Dan Orlovsky",5000,"Det@Min 01:00PM ET",0.000,"Det"
"QB","Kellen Clemens",5000,"SD@Cin 01:00PM ET",0.200,"SD"
"QB","Shaun Hill",5000,"Det@Min 01:00PM ET",10.920,"Min"
"QB","Matt Moore",5000,"Mia@Jax 04:05PM ET",0.320,"Mia"
"QB","Drew Stanton",5000,"Ari@Chi 01:00PM ET",11.416,"Ari"
"QB","Matt Schaub",5000,"Bal@Oak 04:05PM ET",-0.065,"Bal"
"QB","Luke McCown",5000,"TB@NO 01:00PM ET",0.000,"NO"
"QB","Chad Henne",5000,"Mia@Jax 04:05PM ET",10.727,"Jax"
"RB","Rashad Jennings",5000,"Atl@NYG 01:00PM ET",12.955,"NYG"
"QB","Joe Webb",5000,"Hou@Car 01:00PM ET",0.289,"Car"
"QB","Mark Sanchez",5000,"Dal@Phi 04:25PM ET",18.380,"Phi"
"QB","Colt McCoy",5000,"StL@Was 01:00PM ET",13.976,"Was"
"QB","Scott Tolzien",5000,"Sea@GB 08:30PM ET",0,"GB"
"RB","C.J. Spiller",5000,"TB@NO 01:00PM ET",8.056,"NO"
"QB","Case Keenum",5000,"StL@Was 01:00PM ET",12.950,"StL"
"QB","Jimmy Clausen",5000,"Ari@Chi 01:00PM ET",4.205,"Chi"
"RB","Alfred Morris",5000,"StL@Was 01:00PM ET",11.931,"Was"
"QB","Brandon Weeden",5000,"Dal@Phi 04:25PM ET",3.670,"Dal"
"WR","Pierre Garcon",5000,"StL@Was 01:00PM ET",10.263,"Was"
"QB","Austin Davis",5000,"Ten@Cle 01:00PM ET",12.564,"Cle"
"QB","Landry Jones",5000,"SF@Pit 01:00PM ET",0,"Pit"
"RB","LeGarrette Blount",5000,"NE@Buf 01:00PM ET",7.667,"NE"
"WR","Kendall Wright",5000,"Ten@Cle 01:00PM ET",12.279,"Ten"
"QB","EJ Manuel",5000,"NE@Buf 01:00PM ET",12.344,"Buf"
"QB","Blaine Gabbert",5000,"SF@Pit 01:00PM ET",6.020,"SF"
"QB","Sean Renfree",5000,"Atl@NYG 01:00PM ET",0,"Atl"
"QB","Ryan Nassib",5000,"Atl@NYG 01:00PM ET",0.525,"NYG"
"QB","Ryan Griffin",5000,"TB@NO 01:00PM ET",0,"TB"
"QB","Matt Barkley",5000,"Ari@Chi 01:00PM ET",0.000,"Ari"
"QB","Zach Mettenberger",5000,"Ten@Cle 01:00PM ET",11.840,"Ten"
"QB","Bryce Petty",5000,"NYJ@Ind 08:30PM ET",0,"NYJ"
"QB","AJ McCarron",5000,"SD@Cin 01:00PM ET",0,"Cin"
"QB","David Fales",5000,"Ari@Chi 01:00PM ET",0,"Chi"
"QB","Stephen Morris",5000,"Dal@Phi 04:25PM ET",0,"Phi"
"QB","Garrett Grayson",5000,"TB@NO 01:00PM ET",0,"NO"
"QB","Jimmy Garoppolo",5000,"NE@Buf 01:00PM ET",1.740,"NE"
"QB","Sean Mannion",5000,"StL@Was 01:00PM ET",0,"StL"
"QB","Brett Hundley",5000,"Sea@GB 08:30PM ET",0,"GB"
"QB","Taylor Heinicke",5000,"Det@Min 01:00PM ET",0,"Min"
"RB","Melvin Gordon",5000,"SD@Cin 01:00PM ET",0,"SD"
"TE","Greg Olsen",4900,"Hou@Car 01:00PM ET",13.683,"Car"
"WR","Allen Robinson",4900,"Mia@Jax 04:05PM ET",11.680,"Jax"
"WR","Davante Adams",4900,"Sea@GB 08:30PM ET",7.389,"GB"
"RB","Frank Gore",4800,"NYJ@Ind 08:30PM ET",10.794,"Ind"
"WR","Victor Cruz",4800,"Atl@NYG 01:00PM ET",11.450,"NYG"
"WR","Charles Johnson",4800,"Det@Min 01:00PM ET",7.867,"Min"
"WR","Michael Floyd",4800,"Ari@Chi 01:00PM ET",10.300,"Ari"
"RB","T.J. Yeldon",4800,"Mia@Jax 04:05PM ET",0,"Jax"
"RB","Todd Gurley",4800,"StL@Was 01:00PM ET",0,"StL"
"WR","James Jones",4700,"Sea@GB 08:30PM ET",11.100,"GB"
"RB","Chris Ivory",4700,"NYJ@Ind 08:30PM ET",9.963,"NYJ"
"WR","Rueben Randle",4700,"Atl@NYG 01:00PM ET",11.988,"NYG"
"RB","Tre Mason",4700,"StL@Was 01:00PM ET",11.858,"StL"
"WR","Breshad Perriman",4700,"Bal@Oak 04:05PM ET",0,"Bal"
"RB","Joique Bell",4600,"Det@Min 01:00PM ET",13.231,"Det"
"WR","Donte Moncrief",4600,"NYJ@Ind 08:30PM ET",6.405,"Ind"
"TE","Martellus Bennett",4500,"Ari@Chi 01:00PM ET",14.225,"Chi"
"WR","Percy Harvin",4500,"NE@Buf 01:00PM ET",10.500,"Buf"
"RB","Giovani Bernard",4500,"SD@Cin 01:00PM ET",14.579,"Cin"
"TE","Julius Thomas",4500,"Mia@Jax 04:05PM ET",12.729,"Jax"
"RB","Ameer Abdullah",4500,"Det@Min 01:00PM ET",0,"Det"
"RB","Bishop Sankey",4500,"Ten@Cle 01:00PM ET",6.138,"Ten"
"RB","Tevin Coleman",4500,"Atl@NYG 01:00PM ET",0,"Atl"
"WR","Malcom Floyd",4400,"SD@Cin 01:00PM ET",11.038,"SD"
"RB","Benny Cunningham",4400,"StL@Was 01:00PM ET",7.925,"StL"
"RB","Isaiah Crowell",4400,"Ten@Cle 01:00PM ET",7.775,"Cle"
"TE","Jason Witten",4300,"Dal@Phi 04:25PM ET",10.483,"Dal"
"RB","Darren McFadden",4200,"Dal@Phi 04:25PM ET",7.600,"Dal"
"WR","Stevie Johnson",4200,"SD@Cin 01:00PM ET",7.654,"SD"
"WR","Doug Baldwin",4200,"Sea@GB 08:30PM ET",11.372,"Sea"
"RB","Shane Vereen",4200,"Atl@NYG 01:00PM ET",10.089,"NYG"
"WR","Terrance Williams",4200,"Dal@Phi 04:25PM ET",10.117,"Dal"
"TE","Tyler Eifert",4200,"SD@Cin 01:00PM ET",6.700,"Cin"
"RB","David Johnson",4200,"Ari@Chi 01:00PM ET",0,"Ari"
